Type	Task Name Original	Task Name	Status Migração	Data	obs
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_BKP14112023)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_BKP14112023	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_BKP_20240201)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_BKP_20240201	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_TST_BKP14112023)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_TST_BKP14112023	To be migrated		
VIEW	(VIEW - OW_MD.VW_VTEX_PURCHASE_ORDER_ESTORE)	OW_MD.VW_VTEX_PURCHASE_ORDER_ESTORE	Done	08/01/2026	
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_VTEX_ORDERS_MODEL)	U_PRJ_ECOM.VIEW_ECOM_VTEX_ORDERS_MODEL	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_VTEX_ORDERS_MODEL_TST)	U_PRJ_ECOM.VIEW_ECOM_VTEX_ORDERS_MODEL_TST	To be migrated		
VIEW	(VIEW - OW_LAO.VW_D2C_ORDER_ONE_VIEW)	OW_LAO.VW_D2C_ORDER_ONE_VIEW	Done		
VIEW	(VIEW - OW_LAO.VIEW_ECOM_ORDERS_B5Q5_VTEX)	OW_LAO.VIEW_ECOM_ORDERS_B5Q5_VTEX	To be migrated		
VIEW	(VIEW - OW_LAO.VIEW_RAW_GRAFANA_DOCUMENT_PAYMENTS_DETAILS)	OW_LAO.VIEW_RAW_GRAFANA_DOCUMENT_PAYMENTS_DETAILS	Done		
VIEW	(VIEW - OW_LAO.VIEW_RAW_BIZ_OVERVIEW)	OW_LAO.VIEW_RAW_BIZ_OVERVIEW	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_TRADEIN_TST)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_TRADEIN_TST	Done		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_TRADEIN_TST_ADJ)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_TRADEIN_TST_ADJ	Done		
VIEW	(VIEW - U_PRJ_ECOM.VW_SDU_RAW_VTEX_SSG_BR_SALES_ORDER_ITEM)	U_PRJ_ECOM.VW_SDU_RAW_VTEX_SSG_BR_SALES_ORDER_ITEM	Done		
VIEW	(VIEW - U_PRJ_ECOM.VW_RAW_VTEX_SSG_BR_SHOP_PROMOTION_TAX_OPEN)	U_PRJ_ECOM.VW_RAW_VTEX_SSG_BR_SHOP_PROMOTION_TAX_OPEN	Done		
